cleaned-text-line-id,cleaned-text-paragraph-id,cleaned-text-line,cleaned-text-paragraph,summarized-text-paragraph,metadata-volume-folio,metadata-date,metadata-legal-case,metadata-proctor,metadata-frontmatter,metadata-frontmatter-witness-name,metadata-frontmatter-witness-residence,metadata-frontmatter-witness-occupation,metadata-frontmatter-witness-age,metadata-allegation,metadata-libel,metadata-interrogatory,metadata-signoff
36,3,John Joal,,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,signoff-signature
100,11,John Andrew:/,,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,,,,signoff-signature
168,,Edward Scrafe,,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,,,,,,,,,signoff-signature
258,,John augustine,,,HCA 13/70 f.4v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The claime of Colonell Samuell Atkins of Leith in Scotland for the Saint John. John Thomas master and goods taken by the Restitution""",,,,,,,,,,signoff-signature
311,,John Mathew,,,HCA 13/70 f.5r Annotate,"""The 11th of September 1654. (1654-09-11)""","""On the behalfe of William Mathewes of Plimouth touching his losse in the Allicant frigot, Peter Sannders master""",,,,,,,,,,signoff-signature
1,,The fourth of September 1654.,,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
2,,hearne against Waterman.),,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
3,,Smith. ffrancklin.),,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""","""Smith, ffrancklin""",,,,,,,,,
4,,ffrancklyn: dt.,,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""","""ffrancklyn""",,,,,,,,,
5,,John Jeale of Wapping Mariner aged 48 yeeres,,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,"""John Jeale of Wapping Mariner aged 48 yeeres or thereabouts sworne before the right worshipfull william Clarke and John Godolphin doctors of Lawes, Judges of the high Court of the Admiraltie saith and deposeth.""","""John Jeale""","""of Wapping""","""Mariner""","""aged 48 yeeres or thereabouts""",,,,
6,,or thereabouts sworne before the right worshipfull william,,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,"""John Jeale of Wapping Mariner aged 48 yeeres or thereabouts sworne before the right worshipfull william Clarke and John Godolphin doctors of Lawes, Judges of the high Court of the Admiraltie saith and deposeth.""",,,,,,,,
7,,"Clarke and John Godolphin doctors of Lawes, Judges",,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,"""John Jeale of Wapping Mariner aged 48 yeeres or thereabouts sworne before the right worshipfull william Clarke and John Godolphin doctors of Lawes, Judges of the high Court of the Admiraltie saith and deposeth.""",,,,,,,,
8,,of the high Court of the Admiraltie saith and,,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,"""John Jeale of Wapping Mariner aged 48 yeeres or thereabouts sworne before the right worshipfull william Clarke and John Godolphin doctors of Lawes, Judges of the high Court of the Admiraltie saith and deposeth.""",,,,,,,,
9,,deposeth.,,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,"""John Jeale of Wapping Mariner aged 48 yeeres or thereabouts sworne before the right worshipfull william Clarke and John Godolphin doctors of Lawes, Judges of the high Court of the Admiraltie saith and deposeth.""",,,,,,,,
10,1,That hee well knew henry hearne late Gunner of the shipp,"""That hee well knew henry hearne late Gunner of the shipp the Marchant Adventurer of London (Edward Waterman commannder) and saith that the said shipp being at Venice in ffebruary last was a twelve moneths this deponent was there present in company of the said Captaine Waterman and the said henry hearne, and heard them reckon together for the wages of the said hearne who departed the said shipp and refused to serve any longer in her, and some time after there comming a Warrant to take up the said shipp into the service of this Commonwealth.""","""In February of the previous year, the deponent was in Venice and personally knew Henry Hearne, the gunner of the ship Merchant Adventurer of London, commanded by Edward Waterman. The deponent was present when Captain Waterman and Hearne discussed Hearne's wages. Shortly after this discussion, Hearne left the ship and refused to continue serving on it. Some time later, a warrant arrived to take the Merchant Adventurer into the service of the Commonwealth.""",HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
11,1,the Marchant Adventurer of London (Edward Waterman commannder),,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
12,1,and saith that the said shipp being at Venice in ffebruary last was a,,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
13,1,twelve moneths this deponent was there present in company of the said,,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
14,1,"Captaine Waterman and the said henry hearne, and heard them reckon",,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
15,1,together for the wages of the said hearne who departed the said shipp,,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
16,1,"and refused to serve any longer in her, and some time after there",,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
17,1,comming a Warrant to take up the said shipp into the service of this,,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
18,2,"Commonwealth, and the said hearne having shipt himselfe aboard","""And the said hearne having shipt himselfe aboard the Anne Bonadventure (Christopher Page master) to goe into the service of the duke of Venice, hee this deponent and William Jackson, the said Captaine Watermans mates, went aboard the Anne Bonadventure and spake to the said henry hearne to retourne againe aboard the Marchant Adventurer which wanted men) and goe home in her, telling him howe shee was taken up in the [?service] of this Commonwealth, and that they should goe home safe or to that effect, and earnestly purswaded him to retourne, telling him withall that hee should have as good wages as hee would desire.""","""Henry Hearne had taken a position aboard the Anne Bonadventure (under Master Christopher Page) to serve the Duke of Venice. The deponent, along with William Jackson, who were Captain Waterman's mates, went aboard the Anne Bonadventure to speak with Hearne. They urged him to return to the Merchant Adventurer, which was short on crew, and sail home on it. They informed him that the ship had been taken into the service of the Commonwealth and assured him that they would travel home safely. They also promised that he would receive as much pay as he desired.""",HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
19,2,the Anne Bonadventure (Christopher Page master) to goe into the,,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
20,2,"service of the duke of Venice, hee this deponent and William",,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
21,2,"Jackson, the said Captaine Watermans mates, went aboard the Anne",,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
22,2,Bonadventure and spake to the said henry hearne to retourne againe,,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
23,2,aboard the Marchant Adventurer which wanted men) and goe home,,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
24,2,"in her, telling him howe shee was taken up in the [?service]",,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
25,2,"of this Commonwealth, and that they should goe home safe or to",,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
26,2,"that effect, and earnestly purswaded him to retourne, telling him",,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
27,2,withall that hee should have as good wages as hee would desire,,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
